Date,Time,Trade No.,Price,Effect,Legs
8/9/2013,3:45:00 PM,31,0.31,debit,"buy to open 10 x $78 call exp. 9/6/2013 (28 DTE); sell to open 10 x $80 call exp. 9/6/2013 (28 DTE)"
8/15/2013,3:45:00 PM,30,0.04,credit,"sell to close 10 x $79 call exp. 9/6/2013 (22 DTE); buy to close 10 x $81 call exp. 9/6/2013 (22 DTE)"
8/16/2013,3:45:00 PM,29,0.03,credit,"sell to close 10 x $78 call exp. 8/30/2013 (14 DTE); buy to close 10 x $79 call exp. 8/30/2013 (14 DTE)"
8/16/2013,3:45:00 PM,32,0.22,debit,"buy to open 10 x $78 call exp. 9/21/2013 (36 DTE); sell to open 10 x $80 call exp. 9/21/2013 (36 DTE)"
8/19/2013,3:45:00 PM,28,0.03,credit,"sell to close 10 x $77 call exp. 8/23/2013 (4 DTE); buy to close 10 x $79 call exp. 8/23/2013 (4 DTE)"
8/21/2013,3:45:00 PM,31,0.06,credit,"sell to close 10 x $78 call exp. 9/6/2013 (16 DTE); buy to close 10 x $80 call exp. 9/6/2013 (16 DTE)"
8/23/2013,3:45:00 PM,33,0.25,debit,"buy to open 10 x $79 call exp. 9/27/2013 (35 DTE); sell to open 10 x $81 call exp. 9/27/2013 (35 DTE)"
8/30/2013,3:45:00 PM,34,0.34,debit,"buy to open 10 x $78 call exp. 10/4/2013 (35 DTE); sell to open 10 x $80 call exp. 10/4/2013 (35 DTE)"
9/6/2013,3:45:00 PM,35,0.28,debit,"buy to open 10 x $79 call exp. 10/4/2013 (28 DTE); sell to open 10 x $81 call exp. 10/4/2013 (28 DTE)"
9/13/2013,3:45:00 PM,36,0.32,debit,"buy to open 10 x $80 call exp. 10/19/2013 (36 DTE); sell to open 10 x $82 call exp. 10/19/2013 (36 DTE)"
9/20/2013,3:45:00 PM,37,0.32,debit,"buy to open 10 x $81 call exp. 10/25/2013 (35 DTE); sell to open 10 x $83 call exp. 10/25/2013 (35 DTE)"
9/23/2013,4:00:00 PM,32,78.83,credit,"sell to close 1000 shares"
9/27/2013,3:45:00 PM,38,0.33,debit,"buy to open 10 x $81.5 call exp. 11/1/2013 (35 DTE); sell to open 10 x $84 call exp. 11/1/2013 (35 DTE)"
9/27/2013,4:00:00 PM,33,79.07,credit,"sell to close 1000 shares"
10/4/2013,3:45:00 PM,39,0.28,debit,"buy to open 10 x $82 call exp. 11/1/2013 (28 DTE); sell to open 10 x $84 call exp. 11/1/2013 (28 DTE)"
10/4/2013,4:00:00 PM,34,79.4,credit,"sell to close 1000 shares"
10/4/2013,4:00:00 PM,35,79.4,credit,"sell to close 1000 shares"
10/9/2013,3:45:00 PM,36,0.06,credit,"sell to close 10 x $80 call exp. 10/19/2013 (10 DTE); buy to close 10 x $82 call exp. 10/19/2013 (10 DTE)"
10/9/2013,3:45:00 PM,37,0.07,credit,"sell to close 10 x $81 call exp. 10/25/2013 (16 DTE); buy to close 10 x $83 call exp. 10/25/2013 (16 DTE)"
10/9/2013,3:45:00 PM,39,0.06,credit,"sell to close 10 x $82 call exp. 11/1/2013 (23 DTE); buy to close 10 x $84 call exp. 11/1/2013 (23 DTE)"
10/11/2013,3:45:00 PM,40,0.31,debit,"buy to open 10 x $82 call exp. 11/16/2013 (36 DTE); sell to open 10 x $84 call exp. 11/16/2013 (36 DTE)"
10/18/2013,3:45:00 PM,41,0.19,debit,"buy to open 10 x $85 call exp. 11/22/2013 (35 DTE); sell to open 10 x $87 call exp. 11/22/2013 (35 DTE)"
10/25/2013,3:45:00 PM,42,0.37,debit,"buy to open 10 x $85 call exp. 11/29/2013 (35 DTE); sell to open 10 x $88 call exp. 11/29/2013 (35 DTE)"
11/1/2013,3:45:00 PM,43,0.29,debit,"buy to open 10 x $85 call exp. 12/6/2013 (35 DTE); sell to open 10 x $87 call exp. 12/6/2013 (35 DTE)"
11/1/2013,4:00:00 PM,38,82.78,credit,"sell to close 1000 shares"
11/7/2013,3:45:00 PM,41,0.03,credit,"sell to close 10 x $85 call exp. 11/22/2013 (15 DTE); buy to close 10 x $87 call exp. 11/22/2013 (15 DTE)"
11/7/2013,3:45:00 PM,42,0.07,credit,"sell to close 10 x $85 call exp. 11/29/2013 (22 DTE); buy to close 10 x $88 call exp. 11/29/2013 (22 DTE)"
11/8/2013,3:45:00 PM,44,0.2,debit,"buy to open 10 x $85 call exp. 12/6/2013 (28 DTE); sell to open 10 x $87 call exp. 12/6/2013 (28 DTE)"
11/15/2013,3:45:00 PM,45,0.28,debit,"buy to open 10 x $86 call exp. 12/21/2013 (36 DTE); sell to open 10 x $88 call exp. 12/21/2013 (36 DTE)"
11/18/2013,4:00:00 PM,40,83.14,credit,"sell to close 1000 shares"
11/22/2013,3:45:00 PM,46,0.28,debit,"buy to open 10 x $86 call exp. 12/27/2013 (35 DTE); sell to open 10 x $88 call exp. 12/27/2013 (35 DTE)"
11/29/2013,3:45:00 PM,47,0.24,debit,"buy to open 10 x $88 call exp. 1/3/2014 (35 DTE); sell to open 10 x $90 call exp. 1/3/2014 (35 DTE)"
12/6/2013,3:45:00 PM,48,0.25,debit,"buy to open 10 x $88 call exp. 1/3/2014 (28 DTE); sell to open 10 x $90 call exp. 1/3/2014 (28 DTE)"
12/6/2013,4:00:00 PM,43,86,credit,"sell to close 1000 shares"
12/6/2013,4:00:00 PM,44,86,credit,"sell to close 1000 shares"
12/13/2013,3:45:00 PM,49,0.21,debit,"buy to open 10 x $88 call exp. 1/18/2014 (36 DTE); sell to open 10 x $90 call exp. 1/18/2014 (36 DTE)"
12/20/2013,3:45:00 PM,50,0.28,debit,"buy to open 10 x $89 call exp. 1/24/2014 (35 DTE); sell to open 10 x $91 call exp. 1/24/2014 (35 DTE)"
12/23/2013,4:00:00 PM,45,87.41,credit,"sell to close 1000 shares"
12/27/2013,3:45:00 PM,51,0.29,debit,"buy to open 10 x $90 call exp. 1/31/2014 (35 DTE); sell to open 10 x $92 call exp. 1/31/2014 (35 DTE)"
12/27/2013,4:00:00 PM,46,87.52,credit,"sell to close 1000 shares"
1/2/2014,3:45:00 PM,47,0.02,credit,"sell to close 10 x $88 call exp. 1/3/2014 (1 DTE); buy to close 10 x $90 call exp. 1/3/2014 (1 DTE)"
1/2/2014,3:45:00 PM,48,0.02,credit,"sell to close 10 x $88 call exp. 1/3/2014 (1 DTE); buy to close 10 x $90 call exp. 1/3/2014 (1 DTE)"
1/3/2014,3:45:00 PM,52,0.21,debit,"buy to open 10 x $90 call exp. 2/7/2014 (35 DTE); sell to open 10 x $92 call exp. 2/7/2014 (35 DTE)"
1/10/2014,3:45:00 PM,53,0.21,debit,"buy to open 10 x $90 call exp. 2/7/2014 (28 DTE); sell to open 10 x $92 call exp. 2/7/2014 (28 DTE)"
1/13/2014,3:45:00 PM,49,0.03,credit,"sell to close 10 x $88 call exp. 1/18/2014 (5 DTE); buy to close 10 x $90 call exp. 1/18/2014 (5 DTE)"
1/13/2014,3:45:00 PM,50,0.03,credit,"sell to close 10 x $89 call exp. 1/24/2014 (11 DTE); buy to close 10 x $91 call exp. 1/24/2014 (11 DTE)"
1/13/2014,3:45:00 PM,51,0.04,credit,"sell to close 10 x $90 call exp. 1/31/2014 (18 DTE); buy to close 10 x $92 call exp. 1/31/2014 (18 DTE)"
1/17/2014,3:45:00 PM,54,0.21,debit,"buy to open 10 x $91 call exp. 2/22/2014 (36 DTE); sell to open 10 x $93 call exp. 2/22/2014 (36 DTE)"
1/24/2014,3:45:00 PM,55,0.29,debit,"buy to open 10 x $90 call exp. 2/28/2014 (35 DTE); sell to open 10 x $92 call exp. 2/28/2014 (35 DTE)"
1/27/2014,3:45:00 PM,52,0.01,credit,"sell to close 10 x $90 call exp. 2/7/2014 (11 DTE); buy to close 10 x $92 call exp. 2/7/2014 (11 DTE)"
1/27/2014,3:45:00 PM,53,0.01,credit,"sell to close 10 x $90 call exp. 2/7/2014 (11 DTE); buy to close 10 x $92 call exp. 2/7/2014 (11 DTE)"
1/28/2014,3:45:00 PM,54,0.04,credit,"sell to close 10 x $91 call exp. 2/22/2014 (25 DTE); buy to close 10 x $93 call exp. 2/22/2014 (25 DTE)"
1/31/2014,3:45:00 PM,56,0.25,debit,"buy to open 10 x $90 call exp. 3/7/2014 (35 DTE); sell to open 10 x $92 call exp. 3/7/2014 (35 DTE)"
2/3/2014,3:45:00 PM,55,0.06,credit,"sell to close 10 x $90 call exp. 2/28/2014 (25 DTE); buy to close 10 x $92 call exp. 2/28/2014 (25 DTE)"
2/7/2014,3:45:00 PM,57,0.31,debit,"buy to open 10 x $90.5 call exp. 3/14/2014 (35 DTE); sell to open 10 x $93 call exp. 3/14/2014 (35 DTE)"
2/14/2014,3:45:00 PM,58,0.43,debit,"buy to open 10 x $92 call exp. 3/22/2014 (36 DTE); sell to open 10 x $95 call exp. 3/22/2014 (36 DTE)"
2/21/2014,3:45:00 PM,59,0.22,debit,"buy to open 10 x $93 call exp. 3/28/2014 (35 DTE); sell to open 10 x $95 call exp. 3/28/2014 (35 DTE)"
2/28/2014,3:45:00 PM,60,0.42,debit,"buy to open 10 x $92.63 call exp. 4/4/2014 (35 DTE); sell to open 10 x $95.63 call exp. 4/4/2014 (35 DTE)"
3/7/2014,3:45:00 PM,61,0.29,debit,"buy to open 10 x $93 call exp. 4/11/2014 (35 DTE); sell to open 10 x $95 call exp. 4/11/2014 (35 DTE)"
3/7/2014,4:00:00 PM,56,90.53,credit,"sell to close 1000 shares"
3/13/2014,3:45:00 PM,58,0.04,credit,"sell to close 10 x $92 call exp. 3/22/2014 (9 DTE); buy to close 10 x $95 call exp. 3/22/2014 (9 DTE)"
3/14/2014,3:45:00 PM,62,0.41,debit,"buy to open 10 x $91.63 call exp. 4/19/2014 (36 DTE); sell to open 10 x $94.63 call exp. 4/19/2014 (36 DTE)"
3/20/2014,3:45:00 PM,59,0.01,credit,"sell to close 10 x $93 call exp. 3/28/2014 (8 DTE); buy to close 10 x $95 call exp. 3/28/2014 (8 DTE)"
3/21/2014,3:45:00 PM,60,0.03,credit,"sell to close 10 x $92.63 call exp. 4/4/2014 (14 DTE); buy to close 10 x $95.63 call exp. 4/4/2014 (14 DTE)"
3/21/2014,3:45:00 PM,63,0.36,debit,"buy to open 10 x $92 call exp. 4/25/2014 (35 DTE); sell to open 10 x $95 call exp. 4/25/2014 (35 DTE)"
3/24/2014,3:45:00 PM,61,0.02,credit,"sell to close 10 x $93 call exp. 4/11/2014 (18 DTE); buy to close 10 x $95 call exp. 4/11/2014 (18 DTE)"
3/28/2014,3:45:00 PM,62,0.07,credit,"sell to close 10 x $91.63 call exp. 4/19/2014 (22 DTE); buy to close 10 x $94.63 call exp. 4/19/2014 (22 DTE)"
3/28/2014,3:45:00 PM,64,0.33,debit,"buy to open 10 x $90.5 call exp. 5/2/2014 (35 DTE); sell to open 10 x $93 call exp. 5/2/2014 (35 DTE)"
4/4/2014,3:45:00 PM,63,0.05,credit,"sell to close 10 x $92 call exp. 4/25/2014 (21 DTE); buy to close 10 x $95 call exp. 4/25/2014 (21 DTE)"
4/4/2014,3:45:00 PM,65,0.39,debit,"buy to open 10 x $90 call exp. 5/9/2014 (35 DTE); sell to open 10 x $93 call exp. 5/9/2014 (35 DTE)"
4/11/2014,3:45:00 PM,64,0.06,credit,"sell to close 10 x $90.5 call exp. 5/2/2014 (21 DTE); buy to close 10 x $93 call exp. 5/2/2014 (21 DTE)"
4/11/2014,3:45:00 PM,66,0.5,debit,"buy to open 10 x $88 call exp. 5/17/2014 (36 DTE); sell to open 10 x $91.63 call exp. 5/17/2014 (36 DTE)"
4/23/2014,3:45:00 PM,65,0.07,credit,"sell to close 10 x $90 call exp. 5/9/2014 (16 DTE); buy to close 10 x $93 call exp. 5/9/2014 (16 DTE)"
4/25/2014,3:45:00 PM,67,0.38,debit,"buy to open 10 x $89.5 call exp. 5/30/2014 (35 DTE); sell to open 10 x $92 call exp. 5/30/2014 (35 DTE)"
5/2/2014,3:45:00 PM,68,0.35,debit,"buy to open 10 x $90.5 call exp. 6/6/2014 (35 DTE); sell to open 10 x $93 call exp. 6/6/2014 (35 DTE)"
5/9/2014,3:45:00 PM,69,0.28,debit,"buy to open 10 x $90 call exp. 6/13/2014 (35 DTE); sell to open 10 x $92 call exp. 6/13/2014 (35 DTE)"
5/15/2014,3:45:00 PM,66,0.04,credit,"sell to close 10 x $88 call exp. 5/17/2014 (2 DTE); buy to close 10 x $91.63 call exp. 5/17/2014 (2 DTE)"
5/16/2014,3:45:00 PM,70,0.26,debit,"buy to open 10 x $90.63 call exp. 6/21/2014 (36 DTE); sell to open 10 x $92.63 call exp. 6/21/2014 (36 DTE)"
5/23/2014,3:45:00 PM,71,0.34,debit,"buy to open 10 x $92 call exp. 6/27/2014 (35 DTE); sell to open 10 x $94 call exp. 6/27/2014 (35 DTE)"
5/30/2014,3:45:00 PM,72,0.34,debit,"buy to open 10 x $93.5 call exp. 7/3/2014 (34 DTE); sell to open 10 x $96 call exp. 7/3/2014 (34 DTE)"
5/30/2014,4:00:00 PM,67,91.31,credit,"sell to close 1000 shares"
6/6/2014,3:45:00 PM,73,0.34,debit,"buy to open 10 x $95 call exp. 7/11/2014 (35 DTE); sell to open 10 x $97.5 call exp. 7/11/2014 (35 DTE)"
6/6/2014,4:00:00 PM,68,92.82,credit,"sell to close 1000 shares"
6/13/2014,3:45:00 PM,74,0.23,debit,"buy to open 10 x $95 call exp. 7/19/2014 (36 DTE); sell to open 10 x $97 call exp. 7/19/2014 (36 DTE)"
6/13/2014,4:00:00 PM,69,92.32,credit,"sell to close 1000 shares"
6/13/2014,4:00:00 PM,69,92.32,debit,"buy to close 1000 shares"
6/20/2014,3:45:00 PM,75,0.29,debit,"buy to open 10 x $95 call exp. 7/25/2014 (35 DTE); sell to open 10 x $97 call exp. 7/25/2014 (35 DTE)"
6/23/2014,4:00:00 PM,70,92.79,credit,"sell to close 1000 shares"
6/23/2014,4:00:00 PM,70,92.79,debit,"buy to close 1000 shares"
6/27/2014,3:45:00 PM,76,0.27,debit,"buy to open 10 x $96 call exp. 8/1/2014 (35 DTE); sell to open 10 x $98 call exp. 8/1/2014 (35 DTE)"
6/27/2014,4:00:00 PM,71,93.75,credit,"sell to close 1000 shares"
7/3/2014,4:00:00 PM,72,95.7,credit,"sell to close 1000 shares"
7/11/2014,3:45:00 PM,77,0.27,debit,"buy to open 10 x $98 call exp. 8/16/2014 (36 DTE); sell to open 10 x $100 call exp. 8/16/2014 (36 DTE)"
7/11/2014,4:00:00 PM,73,95.27,credit,"sell to close 1000 shares"
7/18/2014,3:45:00 PM,78,0.31,debit,"buy to open 10 x $98.5 call exp. 8/22/2014 (35 DTE); sell to open 10 x $100.5 call exp. 8/22/2014 (35 DTE)"
7/21/2014,4:00:00 PM,74,96,credit,"sell to close 1000 shares"
7/25/2014,3:45:00 PM,79,0.25,debit,"buy to open 10 x $99.5 call exp. 8/29/2014 (35 DTE); sell to open 10 x $101.5 call exp. 8/29/2014 (35 DTE)"
7/25/2014,4:00:00 PM,75,96.74,credit,"sell to close 1000 shares"
8/1/2014,3:45:00 PM,76,0.01,debit,"sell to close 10 x $96 call exp. 8/1/2014 (0 DTE); buy to close 10 x $98 call exp. 8/1/2014 (0 DTE)"
8/1/2014,3:45:00 PM,77,0.06,credit,"sell to close 10 x $98 call exp. 8/16/2014 (15 DTE); buy to close 10 x $100 call exp. 8/16/2014 (15 DTE)"
8/1/2014,3:45:00 PM,80,0.31,debit,"buy to open 10 x $98 call exp. 9/5/2014 (35 DTE); sell to open 10 x $100 call exp. 9/5/2014 (35 DTE)"
8/5/2014,3:45:00 PM,78,0.06,credit,"sell to close 10 x $98.5 call exp. 8/22/2014 (17 DTE); buy to close 10 x $100.5 call exp. 8/22/2014 (17 DTE)"
8/5/2014,3:45:00 PM,79,0.05,credit,"sell to close 10 x $99.5 call exp. 8/29/2014 (24 DTE); buy to close 10 x $101.5 call exp. 8/29/2014 (24 DTE)"
8/8/2014,3:45:00 PM,81,0.37,debit,"buy to open 10 x $98 call exp. 9/12/2014 (35 DTE); sell to open 10 x $100.5 call exp. 9/12/2014 (35 DTE)"
8/15/2014,3:45:00 PM,82,0.34,debit,"buy to open 10 x $99.63 call exp. 9/20/2014 (36 DTE); sell to open 10 x $101.63 call exp. 9/20/2014 (36 DTE)"
8/22/2014,3:45:00 PM,83,0.21,debit,"buy to open 10 x $101.5 call exp. 9/26/2014 (35 DTE); sell to open 10 x $103 call exp. 9/26/2014 (35 DTE)"
8/29/2014,3:45:00 PM,84,0.29,debit,"buy to open 10 x $102 call exp. 10/3/2014 (35 DTE); sell to open 10 x $104 call exp. 10/3/2014 (35 DTE)"
9/5/2014,3:45:00 PM,85,0.33,debit,"buy to open 10 x $102 call exp. 10/10/2014 (35 DTE); sell to open 10 x $104 call exp. 10/10/2014 (35 DTE)"
9/5/2014,4:00:00 PM,80,99.89,credit,"sell to close 1000 shares"
9/12/2014,3:45:00 PM,86,0.32,debit,"buy to open 10 x $102 call exp. 10/18/2014 (36 DTE); sell to open 10 x $104 call exp. 10/18/2014 (36 DTE)"
9/12/2014,4:00:00 PM,81,99.48,credit,"sell to close 1000 shares"
9/15/2014,3:45:00 PM,83,0.05,credit,"sell to close 10 x $101.5 call exp. 9/26/2014 (11 DTE); buy to close 10 x $103 call exp. 9/26/2014 (11 DTE)"
9/19/2014,3:45:00 PM,87,0.36,debit,"buy to open 10 x $102.5 call exp. 10/24/2014 (35 DTE); sell to open 10 x $105 call exp. 10/24/2014 (35 DTE)"
9/22/2014,3:45:00 PM,84,0.05,credit,"sell to close 10 x $102 call exp. 10/3/2014 (11 DTE); buy to close 10 x $104 call exp. 10/3/2014 (11 DTE)"
9/25/2014,3:45:00 PM,85,0.06,credit,"sell to close 10 x $102 call exp. 10/10/2014 (15 DTE); buy to close 10 x $104 call exp. 10/10/2014 (15 DTE)"
